"Qsim.L3.T","FrEr0.05","FrEr0.50","FrEr0.95"
449412.5,-0.44585164952276,-0.268751825131799,-0.06751160837596
602915,-0.315776109289217,-0.107584899435298,-0.0573660031563537
711221,-0.748492043872238,-0.0998071591144217,0.0225155894858847
845110.25,-0.970949657809857,-0.108377772686137,0.0282188739229685
978046.5,-0.226547619908254,-0.133344670968527,-0.0100824615782744
1157652.5,-0.285652791574368,-0.138700709803288,-0.0482694689839817
1363440,-0.338880091140771,-0.123523324997844,-0.0167823232532792
1632447.5,-0.399217612794484,-0.119318894948923,0.469606536289635
1801195,-0.409703512064386,-0.126969650890274,0.477319251894311
1951400,-0.638057778270284,-0.204830658658558,0.461471625600382
2110320,-0.780274494665995,-0.206848030018762,0.453697359935084
2247410,-0.787927681137493,-0.197456029114134,0.804371154308098
2426810,-1.07821820805686,-0.229389230859224,0.41494483850331
2625785,-1.25747736376325,-0.362072968297667,0.338078824547014
2903300,-1.21439665734853,-0.414393806758063,0.269022482475061
3220315,-1.53931812860743,-0.454042873531165,0.230298908804078
3550530,-1.60386385491377,-0.442401864983339,0.212156154039064
